model_outcome,estimate_min,estimate_max,p_value_min,p_value_max,omissions_with_p_below_0_05,total_omissions
Transfer suture-completion score,0.18182773892946508,0.34709034896261803,0.0003082472510539607,0.012819315566853066,22,22
Transfer mean active suture duration,-10.230150460483268,-7.105767934864713,0.0005288443915229017,0.022174569313469943,22,22
