metric,metric_label,occasion,occasion_label,estimate,standard_error,ci95_low,ci95_high,z_value,p_value,n_observations,n_participants
lt_rn_duration_s,LT-RN total duration (s),baseline,Baseline,178.83140909090912,13.612009172853334,152.15236135488774,205.5104568269305,13.137767306795215,2.0004240629900506e-39,66,22
lt_rn_duration_s,LT-RN total duration (s),immediate_day3,Immediate (Day 3),230.7252272727274,13.612009172853329,204.04617953670603,257.40427500874875,16.95012281749463,1.9205218245086584e-64,66,22
lt_rn_duration_s,LT-RN total duration (s),delayed_day7,Delayed (Day 7),233.02577272727277,13.612009172853332,206.3467249912514,259.70482046329414,17.11913133235321,1.0685800260397494e-65,66,22
lt_rn_count,LT-RN count,baseline,Baseline,23.636363636363647,3.065691540683077,17.627718628915705,29.64500864381159,7.709961463082209,1.2585573607725575e-14,66,22
lt_rn_count,LT-RN count,immediate_day3,Immediate (Day 3),36.68181818181818,3.0656915406830763,30.67317317437024,42.69046318926612,11.965267116744887,5.402345584651779e-33,66,22
lt_rn_count,LT-RN count,delayed_day7,Delayed (Day 7),34.68181818181819,3.0656915406830763,28.67317317437025,40.690463189266126,11.312885762176395,1.1330070683145788e-29,66,22
rt_ln_duration_s,RT-LN total duration (s),baseline,Baseline,6.025227272727266,2.709989105693894,0.713746227071324,11.336708318383208,2.2233400348613226,0.026192879870697613,66,22
rt_ln_duration_s,RT-LN total duration (s),immediate_day3,Immediate (Day 3),11.903363636363636,2.7099891056938947,6.591882590707693,17.21484468201958,4.392402763300324,1.1210477339512932e-05,66,22
rt_ln_duration_s,RT-LN total duration (s),delayed_day7,Delayed (Day 7),15.331727272727273,2.7099891056938947,10.020246227071329,20.643208318383216,5.657486681593715,1.5360573233382608e-08,66,22
rt_ln_count,RT-LN count,baseline,Baseline,2.1818181818181865,0.77923623642605,0.65454322297459,3.709093140661783,2.7999444582108346,0.0051111400059161375,66,22
rt_ln_count,RT-LN count,immediate_day3,Immediate (Day 3),3.9545454545454573,0.7792362364260507,2.427270495701859,5.481820413389055,5.074899330507126,3.877012056270027e-07,66,22
rt_ln_count,RT-LN count,delayed_day7,Delayed (Day 7),5.454545454545456,0.7792362364260507,3.9272704957018583,6.981820413389054,6.999861145527068,2.562163114596382e-12,66,22
