model_outcome,outcome_variable,term,estimate,std_error,ci95_low,ci95_high,t,df,p_value,partial_r2,n,model_df_resid,r2,adjusted_r2,standardized,se_type
Transfer suture-completion score,post_transfer_mean_suture_completion_score,Intercept,-1.724039368553776,2.4405770960418716,-6.851501580535613,3.4034228434280607,-0.7064064361457064,18,0.48897922911187,0.026974959827452807,22,18,0.47541123927152573,0.3879797791501134,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,training_mean_lt_rn_count,0.23071038310755862,0.06928736140464976,0.08514303842238366,0.3762777277927336,3.3297614230129424,18,0.003728032338422715,0.3811734636810308,22,18,0.47541123927152573,0.3879797791501134,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,baseline_lt_rn_count,0.04460949526883909,0.07339338366967542,-0.10958428209064869,0.19880327262832687,0.6078135798945428,18,0.5509035464506808,0.02011152224792389,22,18,0.47541123927152573,0.3879797791501134,False,classical
Transfer suture-completion score,post_transfer_mean_suture_completion_score,group_workload_adapted,0.9081595667288814,1.1192584903538185,-1.4433152643823672,3.2596343978401303,0.8113939492581336,18,0.42773907763719754,0.0352849948184788,22,18,0.47541123927152573,0.3879797791501134,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,Intercept,437.82610643445025,75.2808181977106,279.6669762755014,595.9852365933991,5.815905258688662,18,1.6466773722615628e-05,0.6526756304983832,22,18,0.4745651846323984,0.3869927154044648,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,training_mean_lt_rn_count,-6.605299807650967,2.137203231875705,-11.095397181973013,-2.1152024333289203,-3.0906278397557267,18,0.006307273760310895,0.3466894317572465,22,18,0.4745651846323984,0.3869927154044648,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,baseline_lt_rn_count,-4.026285593738387,2.2638555372466165,-8.78246958786152,0.7298984003847462,-1.7785081810632237,18,0.09221557917568476,0.1494626327402094,22,18,0.4745651846323984,0.3869927154044648,False,classical
Transfer mean active suture duration,post_transfer_mean_mean_active_suture_duration_s,group_workload_adapted,-27.07086546873609,34.5240865634692,-99.60327984911801,45.461548911645835,-0.7841153282641938,18,0.44316945798763946,0.03302939762721047,22,18,0.4745651846323984,0.3869927154044648,False,classical
