occasion,occasion_label,comparison,estimate,standard_error,ci95_low,ci95_high,z_value,p_value,p_value_holm,adjustment_family
day1_session1,Day 1/S1,Workload-adapted minus uniform difficulty,8.303488866875796,3.922899159547087,0.6147477991810586,15.992229934570533,2.1166715047129747,0.03428773684933286,0.12253919798773676,Six session-specific group comparisons
day1_session2,Day 1/S2,Workload-adapted minus uniform difficulty,8.727272727272746,3.880386260941364,1.1218554097236284,16.332690044821863,2.249073195397705,0.024507839597547352,0.12253919798773676,Six session-specific group comparisons
day2_session1,Day 2/S1,Workload-adapted minus uniform difficulty,8.545454545454573,3.8803862609413637,0.9400372279054565,16.15087186300369,2.202217503826922,0.027649948209451415,0.12253919798773676,Six session-specific group comparisons
day2_session2,Day 2/S2,Workload-adapted minus uniform difficulty,9.818181818181849,3.880386260941363,2.2127645006327334,17.423599135730964,2.530207344822421,0.011399513881339498,0.06839708328803698,Six session-specific group comparisons
day3_session1,Day 3/S1,Workload-adapted minus uniform difficulty,-1.54545454545452,3.8803862609413637,-9.150871863003637,6.059962772094597,-0.39827337835166954,0.6904286817996872,0.964316699560632,Six session-specific group comparisons
day3_session2,Day 3/S2,Workload-adapted minus uniform difficulty,2.727272727272748,3.8803862609413633,-4.878144590276368,10.332690044821863,0.7028353735617867,0.482158349780316,0.964316699560632,Six session-specific group comparisons
