occasion,occasion_label,estimate,standard_error,ci95_low,ci95_high,z_value,p_value
day1_session1,Day 1/S1,215.61953053380967,17.087682653082066,182.12828795451898,249.11077311310035,12.61841847788055,1.671442901812562e-36
day1_session2,Day 1/S2,222.63113636363622,16.806891921073902,189.69023350627418,255.57203922099825,13.246419231415565,4.732501008870746e-40
day2_session1,Day 2/S1,276.07259090909076,16.806891921073902,243.1316880517287,309.0134937664528,16.426153759156836,1.2429695244598855e-60
day2_session2,Day 2/S2,263.35140909090893,16.806891921073905,230.41050623354687,296.292311948271,15.66925106245829,2.45454604919075e-55
day3_session1,Day 3/S1,268.15186363636354,16.806891921073902,235.21096077900148,301.0927664937256,15.95487523187628,2.6349972853678056e-57
day3_session2,Day 3/S2,278.0147272727271,16.806891921073905,245.07382441536504,310.95563013008916,16.54170970922522,1.8373281505466878e-61
