occasion,occasion_label,comparison,estimate,standard_error,ci95_low,ci95_high,z_value,p_value,p_value_holm,adjustment_family
day1_session2,Day 1/S2,Day 1/S2 minus Day 1/S1,7.01160582982655,18.864725954069115,-29.96257761836693,43.98578927802003,0.3716781175034323,0.7101325193703587,0.7101325193703587,Five comparisons with first training session
day2_session1,Day 2/S1,Day 2/S1 minus Day 1/S1,60.453060375281126,18.864725954069105,23.47887692708767,97.42724382347458,3.2045554503399214,0.0013527123125126877,0.005410849250050751,Five comparisons with first training session
day2_session2,Day 2/S2,Day 2/S2 minus Day 1/S1,47.731878557099265,18.86472595406912,10.757695108905779,84.70606200529275,2.5302184973857784,0.011399151519024191,0.022798303038048383,Five comparisons with first training session
day3_session1,Day 3/S1,Day 3/S1 minus Day 1/S1,52.53233310255388,18.86472595406912,15.558149654360392,89.50651655074736,2.784685726707981,0.005357962633800271,0.016073887901400814,Five comparisons with first training session
day3_session2,Day 3/S2,Day 3/S2 minus Day 1/S1,62.39519673891746,18.864725954069122,25.42101329072397,99.36938018711095,3.3075061302684237,0.0009413065160755118,0.004706532580377559,Five comparisons with first training session
